Identifier,StructureData,,,,,
2AWJ,,295,8,"PEG4000, magnesium chloride, Hepes, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 295K, pH 8.00",2.24,45.09
2AWK,"VAPOR DIFFUSION, HANGING DROP",295,8,"PEG4000, Magnesium chloride, HEPES, pH 8.00, VAPOR DIFFUSION, HANGING DROP, temperature 295K",2.24,45.18
2AWL,"VAPOR DIFFUSION, HANGING DROP",295,8,"PEG4000, Magnesium chloride, HEPES, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 295K",2.22,44.53
2AWM,"VAPOR DIFFUSION, HANGING DROP",295,8,"PEG4000, Magnesium chloride, HEPES, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 295K",2.23,44.77
2FWQ,,298,8,"50 mM MgCl2, 50 mM Hepes, 20% PEG 4000, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K, pH 8.00",2.13,42.38
2FZU,"VAPOR DIFFUSION, HANGING DROP",298,8,"50 mM MgCl2, 50 mM Hepes, 20% PEG 4K, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.14,42.62
1B9C,,,8.3,"22% PEG 4000, 50 MM HEPES PH 8.5, 50 MM MGCL2, 10 MM 2-MERCAPTOETHANOL, 23% MG/ ML PROTEINA, pH 8.3",2.3,50
1YJF,"VAPOR DIFFUSION, HANGING DROP",298,8,"PEG4000, 50 mM MgCl2, 50 mM Hepes, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.1,42
3MGF,"VAPOR DIFFUSION, SITTING DROP",293,7.5,"0.2M L-Proline, 0.1M HEPES, 10%(w/v) Polyethylene glycol 3350, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.2,44
4R6D,"VAPOR DIFFUSION, SITTING DROP",293,6.5,"25.9% PEG3000, 100mM MES, pH 6.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.19,43.92
4KF4,"VAPOR DIFFUSION, SITTING DROP",298,5,"0.1 M SPG buffer pH 5.0, 25 % PEG 1500, VAPOR DIFFUSION, SITTING DROP, temperature 298K",2.07,40.69
1YZW,,,,,2.66,53.67
4P1Q,"VAPOR DIFFUSION, HANGING DROP",291,,"Na-acetate, PEG 3350",2.06,40.25
5DY6,"VAPOR DIFFUSION, SITTING DROP",294,6,"0.1 M PCTP Buffer, 15% PEG 1500",2.29,46.21
2G3O,"VAPOR DIFFUSION, HANGING DROP",293,5.4,"22% PEG 3350, 0.1M Sodium Acetate, 0.15M Magnesium Sulphate, pH 5.4, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.23,44.96
2QZ0,"VAPOR DIFFUSION, HANGING DROP",298,8,"Peg4000, Magnesium chloride, Hepes, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.23,44.79
6HUT,"VAPOR DIFFUSION, HANGING DROP",296,7.5,"200 mM HEPES, 10% v/v isopropanol, 200 mM NaCl",2.04,39.8
3GJ1,"VAPOR DIFFUSION, HANGING DROP",298,7,"1.7 M Ammonium sulfate, 0.1 M Tris-HCl, 0.2 M Lithium sulfate, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.54,51.59
3GJ2,"VAPOR DIFFUSION, HANGING DROP",298,8,"18% PEG 3550, 0.1 M Tris-HCl, 0.2 M Calcium acetate, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.57,52.13
2YFP,,,4.6,pH 4.6,2.22,44.7
1Z1P,"VAPOR DIFFUSION, HANGING DROP",277,8,"PEG 8000, calcium acetate, sodium chloride, HEPES, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.17,42.86
1Z1Q,"VAPOR DIFFUSION, HANGING DROP",277,6.5,"PEG 8000, calcium acetate, sodium chloride, cacodylate, pH 6.50, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.13,41.81
2HPW,"VAPOR DIFFUSION, SITTING DROP",291,5.5,"2 microlitre drops containing protein containing equal volumes of protein solution (9 mg/ml) and precipitate solution (2.0M Ammonium sulfate, 0.1M Citrate), pH 5.5, VAPOR DIFFUSION, SITTING DROP, temperature 291K",2.54,51.63
2QU1,"VAPOR DIFFUSION, HANGING DROP",298,,"Protein solution (4.95 mg/ml Protein, 0.050 M Sodium chloride, 0.0003 M TCEP, 0.005 M Bis-Tris pH 7.0) mixed in a 1:1 ratio with the Well solution (0.080 M Calcium chloride, 15% PEG 4000, 0.1 M HEPPS pH 8.5) and cryoprotected with well solution supplemented with 20% Glycerol, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.2,42.8
5HZO,"VAPOR DIFFUSION, HANGING DROP",295,7.9,"1.0 M malate, pH 8.0, Tris, 0.3 M NaCl, 1% n-nonyl-beta-D maltoside",2.31,46.75
6QSO,"VAPOR DIFFUSION, SITTING DROP",293,7.5,"100 mM HEPES, 22% PEG 3000",2.09,41.08
3CGL,"VAPOR DIFFUSION, HANGING DROP",277,7.9,"100 mM HEPES pH 7.9, 300 mM NaCl, 200 mM calcium acetate, 16% v/v PEG 4000, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.46,50.03
1HCJ,,277,7.8,"CRYSTALS WERE GROWN AT 4C FROM 50 MM MGCL2, 14-17 % PEG3350 AND 50-100 MM TRIS/CL PH 7.8 - 8.6.",2.34,43
4J89,,283,8.5,"20 mg/mL protein and 100 mM Tris-HCl, 2.4 M (NH4)2SO4, 1+1 microL drop against 85 microL reservoir, pH 8.5, VAPOR DIFFUSION, SITTING DROP, temperature 283K",2.37,48.13
7E+053,"VAPOR DIFFUSION, SITTING DROP",293,,"30% (w/v) Polyethylene glycol 400, 100mM CAPS/ Sodium hydroxide, pH 10.5",2.7,54.47
1YFP,"VAPOR DIFFUSION, HANGING DROP",288,7.5,"YFP WAS CONCENTRATED TO 10 MG/ML IN 50 MM HEPES PH 7.5. ROD-SHAPED CRYSTALS WITH APPROXIMATE DIMENSIONS OF 0.8 X 0.12 X 0.03 MM WERE GROWN IN HANGING DROPS CONTAINING 5 MICROLITERS PROTEIN AND 5 MICROLITERS MOTHER LIQUOR AT 15 DEGREES C AFTER 2 WEEKS. THE MOTHER LIQUOR CONTAINED 2.2 M SODIUM/POTASSIUM PHOSPHATE PH 6.9., vapor diffusion - hanging drop, temperature 288K",2.66,53.4
2G16,"VAPOR DIFFUSION, HANGING DROP",298,8,"50 mM MgCl2, 50 mM Hepes, 20% PEG 4000, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.1,41.3
5BT0,"VAPOR DIFFUSION, SITTING DROP",297,8.5,"50 mM MMT, 2.5 M (NH4)2SO4",3.04,59.56
2HJO,"VAPOR DIFFUSION, HANGING DROP",298,8,"19% PEG 4K, 50 mM MgCl2, 50 mM Hepes, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.06,40.3
2HRS,"VAPOR DIFFUSION, HANGING DROP",298,8,"19% PEG 4K, 50 mM MgCl2, 50 mM Hepes, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.12,41.95
2QRF,"VAPOR DIFFUSION, HANGING DROP",298,8,"8-12% Peg 4000, 50 mM Magnesium Chloride, 50 mM Hepes, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.17,43.3
2QT2,"VAPOR DIFFUSION, HANGING DROP",298,8,"Peg4000, Magnesium chloride, Hepes, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.08,40.76
4Q9W,"VAPOR DIFFUSION, SITTING DROP",293,6.5,"25.9% PEG3000, 100mM MES, pH 6.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.02,39.19
6QSL,"VAPOR DIFFUSION, SITTING DROP",293,7.5,"100 mM HEPES, 22% PEG 3000",1.92,35.95
6QSM,"VAPOR DIFFUSION, HANGING DROP",293,6,"100 mM MES, 22% PEG 3000",1.94,36.72
2A46,"VAPOR DIFFUSION, HANGING DROP",,9.3,"1 M Sodium/Potassium Tartrate, 0.16 M Lithium Sulfate, 0.1 M CHES pH 9.3, VAPOR DIFFUSION, HANGING DROP, temperature
110K",2.4,48.75
4XGY,"VAPOR DIFFUSION, HANGING DROP",291,7,"40% PEG400, 0.1M Hepes, pH 7.0",1.87,34.14
2GX2,"VAPOR DIFFUSION, HANGING DROP",295,8.5,"PEG 4000, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 295K",2.12,42.01
1GFL,,,7,"FREE TEXT GOES HERE., pH 7.0",2.22,44.48
1MOU,"VAPOR DIFFUSION, HANGING DROP",293,8,"PEG, Tris buffer, pH 8, VAPOR DIFFUSION, HANGING DROP, temperature 293K",,
1Q4A,"VAPOR DIFFUSION, HANGING DROP",298,8.5,"PEG 4000, MgCl2, BME, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",1.89,34.31
1Q4B,"VAPOR DIFFUSION, HANGING DROP",,5.5,"PEG 4000, MgCl2, BME, pH 5.5, VAPOR DIFFUSION, HANGING DROP",1.93,35.9
1Q4C,"VAPOR DIFFUSION, HANGING DROP",298,8.5,"PEG 4000, MgCl2, BME, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",1.91,34.95
1Q4D,"VAPOR DIFFUSION, HANGING DROP",298,5.5,"PEG 4000, MgCl2, BME, pH 5.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",1.94,36.19
1Q4E,"VAPOR DIFFUSION, HANGING DROP",298,8.5,"PEG 4000, MgCl2, BME, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",1.88,34.18
1Q73,"VAPOR DIFFUSION, HANGING DROP",298,8.5,"PEG 4000, MgCl2, BME, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",1.88,34.12
2RH7,"VAPOR DIFFUSION, HANGING DROP",293,7,"2.0M ammonium sulfate, 5% v/v isopropanol, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.3,46.63
5WJ2,VAPOR DIFFUSION,293,8.5,"100mM Tris, pH 8.5, 50mM MgCl2, 25% PEG3350",2.8,56.05
5WJ3,VAPOR DIFFUSION,293,8.5,"100mM Tris, pH 8.5, 50mM MgCl2, 25% PEG3350",2.4,48.72
5WJ4,VAPOR DIFFUSION,293,8.5,"100mM Tris, pH 8.5, 50mM MgCl2, 25% PEG3350",2.87,57.13
1RRX,"VAPOR DIFFUSION, HANGING DROP",293,8.5,"PEG 4000, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.18,43.66
4Q9X,"VAPOR DIFFUSION, SITTING DROP",293,6.5,"25.9% PEG3000     
100mM MES, pH 6.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.01,38.7
2QLE,,298,8,"100mM Imidazol pH 8.0, 1.1M Na Citrate at room temperature for 6-7 months., temperature 298K",2.16,43.02
3VIC,"VAPOR DIFFUSION, HANGING DROP",293,8.5,"22% PEG 3350, 0.34M POTASSIUM IODIDE, 0.2M TRIS, PH 8.50, VAPOR DIFFUSION, HANGING DROP, TEMPERATURE 293.0K",2.98,58.79
3VK1,"VAPOR DIFFUSION, HANGING DROP",293,8.5,"0.36M KI, 0.2M TRIS, PH 8.5, 21% PEG 3350, 25% GLYCEROL, VAPOR DIFFUSION, HANGING DROP, TEMPERATURE 293K",3.08,60.05
4J88,"VAPOR DIFFUSION, SITTING DROP",278,8.3,"10 mg/mL protein and 100 mM Tris-HCl, pH 8.3, 2.8 M (NH4)2SO4 (200+200 nanoL drop against 60 microL reservoir), VAPOR DIFFUSION, SITTING DROP, temperature 278K",2.36,47.85
4J8A,"VAPOR DIFFUSION, SITTING DROP",278,8.3,"10 mg/mL protein and 100 mM Tris-HCl, pH 8.3, 2 M (NH4)2SO4, 200+200 nanoL drop against 60 microL reservoir, VAPOR DIFFUSION, SITTING DROP, temperature 278K",2.26,45.52
5OOZ,BATCH MODE,293.15,,"0.2 M lithium sulfate
0.1 M Tris-Cl pH 8.5
23-30% PEG 3350",2.24,45.01
4LW5,"VAPOR DIFFUSION, SITTING DROP",295,7.5,"0.1 M sodium chloride, 0.1 M HEPES, pH 7.5, 20% w/v PEG8000, VAPOR DIFFUSION, SITTING DROP, temperature 295K",2.26,45.5
6M9X,"VAPOR DIFFUSION, HANGING DROP",293,8.5,"0.1M Bicine 8.5, 20% PEG 10,000",2.06,40.27
6M9Z,"VAPOR DIFFUSION, HANGING DROP",293,7,"0.1M Na acetate pH 7.0, 12% PEG 3350",2.5,50.81
1EMG,,,8,"CRYSTALLIZATION CONDITIONS: 
22-26% PEG 4000, 50 MM HEPES PH 8.0, 50 MM MGCL2, 
12 MG PROTEIN",2.1,42.17
2Q57,"VAPOR DIFFUSION, HANGING DROP",277,5,"100mM sodium acetate, 19% PEG 4000, 1mM EDTA, pH 5.0, VAPOR DIFFUSION, HANGING DROP, temperature 277K",1.973337,37.669037
4NDJ,"VAPOR DIFFUSION, HANGING DROP",298,4.5,"0.8 M monosodium phosphate, 1.2 M dipotassium phosphate, 0.1 M sodium acetate, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",3.16,61.12
5MA3,"VAPOR DIFFUSION, SITTING DROP",277,,"0.2 M Sodium Acetate, 0.1 M Sodium Cacodylate pH 6.5, 30% w/v PEG 8000",2.72,54.74
5MA8,"VAPOR DIFFUSION, SITTING DROP",277,,"0.3 M Sodium Acetate. 0.1M TRIS (HOAc) pH 7.5, 25% PEG 2K MME",2.32,46.92
5MA9,"VAPOR DIFFUSION, SITTING DROP",277,,"0.1 M TRIS pH 8.5, 30% w/v PEG 4000, 0.2 M LiSO4",2.48,50.37
6IR6,"VAPOR DIFFUSION, SITTING DROP",293,,"30%(w/v) PEG 1500, 3%(v/v) MPD, 0.2M Magnesium sulfate, 0.1M Sodium acetate/Acetic acid pH 5.5",2.12,41.88
2HQZ,"VAPOR DIFFUSION, HANGING DROP",298,8,"19% PEG 4K, 50 mM MgCl2, 50 mM Hepes, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.12,41.9
6KKZ,VAPOR DIFFUSION,308,8.1,"PEG 4000, MgCl2, Tris-DCl buffer",2.1,41.45
6KL0,VAPOR DIFFUSION,308,6.6,"PEG 4000, MgCl2, Tris-DCl buffer",2.11,41.76
6KL1,VAPOR DIFFUSION,308,8.1,"PEG 4000, MgCl2, Tris-DCl buffer",2.1,41.45
1KP5,"VAPOR DIFFUSION, HANGING DROP",285,10,"ammonium sulfate, glycine, pH 10, VAPOR DIFFUSION, HANGING DROP, temperature 285K",4.81,74.43
1RMM,"VAPOR DIFFUSION, SITTING DROP",293,7,"14% PEG 1000, pH 7.0, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.2,44.06
1RMO,"VAPOR DIFFUSION, SITTING DROP",293,7,"14% PEG 1000, pH 7.0, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.14,42.45
1RMP,"VAPOR DIFFUSION, SITTING DROP",293,7,"14% PEG 1000, pH 7.0, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.22,44.71
2DD9,"VAPOR DIFFUSION, SITTING DROP",291,10.5,"0.1M CAPS (pH 10.5), 2.6M Ammonium sulfate, 0.2M Sodium chloride, VAPOR DIFFUSION, SITTING DROP, temperature 291K",4.21,70.75
2ZMU,"VAPOR DIFFUSION, HANGING DROP",296,9.1,"50% PEG 200, 0.1M CHES, pH 9.10, VAPOR DIFFUSION, HANGING DROP, temperature 296K",4.87,74.72
2ZMW,"VAPOR DIFFUSION, HANGING DROP",296,6,"30% PEG 200, 5% PEG 3000, 0.1M MES, pH 6.00, VAPOR DIFFUSION, HANGING DROP, temperature 296K",2.88,57.24
4XL5,"VAPOR DIFFUSION, SITTING DROP",293,,"0.05M MgAc, 0.1M NaAc, 5%-15% PEG 8K",2.09,41.09
4XVP,"VAPOR DIFFUSION, SITTING DROP",293,6.9,"50 mM tricine pH 6.9, 25% PEG4K",2.24,45.04
5DTL,"VAPOR DIFFUSION, HANGING DROP",293,9,"0.2 M chloride hexahydrate, 0.1 M Tris, 30% w/v polyethylene glycol 3,350",2.15,42.71
6OA8,"VAPOR DIFFUSION, SITTING DROP",295,8.5,"0.1 M Tris-HCl, 2.0 M ammonium sulfate, pH 8.5",2.36,47.93
5MA4,"VAPOR DIFFUSION, SITTING DROP",277,,"0.2M Sodium Acetate trihydrate, 0.1M TRIS HCl pH 8.5, 30%w/v PEG 4000",2.25,45.43
5MA6,"VAPOR DIFFUSION, SITTING DROP",277,,"0.1M Na-Acetate pH 5.5, 0.5M KH2PO4",3.48,64.61
5MAD,"VAPOR DIFFUSION, SITTING DROP",277,,"0.1 M Sodium citrate tribasic, pH 5.5, 30% PEG 4000, 0.2 M Ammonium acetate",2.28,45.98
5MSE,"VAPOR DIFFUSION, SITTING DROP",293,7.1,"5-9% PEG8000, 28% glycerol, 100?mM Imidazole (pH 7.1)",2.29,46.22
5Z6Y,"VAPOR DIFFUSION, SITTING DROP",289,4,"0.1M sodium malonate  pH 4.0, 12% PEG 3350",2.3,46.61
3AI4,"VAPOR DIFFUSION, SITTING DROP",293,7.5,"0.1M HEPES, 2.0M Ammonium sulfate, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 293.0K",2.49,50.62
1S6Z,"VAPOR DIFFUSION, HANGING DROP",277,6.5,"PEG 8000, calcium acetate, cacodylate, pH 6.50, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.18,43.22
1XA9,"VAPOR DIFFUSION, HANGING DROP",298,7.9,"ammonium sulfate, pH 7.9, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.7,55.3
1XAE,"VAPOR DIFFUSION, HANGING DROP",288,9,"ammonium sulfate, beta-mercaptoethanol, pH 9.0, VAPOR DIFFUSION, HANGING DROP, temperature 288K",4.2,72.75
2A47,"VAPOR DIFFUSION, HANGING DROP",298,9.7,"0.6 M Na/K tartrate, 40   M Li2SO4, 0.1 M CHES pH 9.7, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.4,48.75
2A48,"VAPOR DIFFUSION, HANGING DROP",298,9.4,"0.74 M Na/K tartrate, 40   M Li2SO4, 0.1 M CHES pH 9.4, with 1   L beta-mercaptoethanol/mL well solution, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.5,50.8
2H9W,"VAPOR DIFFUSION, HANGING DROP",298,9,"AS, Tris, pH 9.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.2,42.8
2OGR,"VAPOR DIFFUSION, HANGING DROP",293,7.5,"0.085M HEPES, pH 7.5, 17% PEG 4000, 8.5% isopropanol, 15% glycerol, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.57,52.14
3CB9,"VAPOR DIFFUSION, HANGING DROP",298,8.5,"0.1M tris, 22% PEG 1550, 0.02M magnesium chloride, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2,38.36
3CBE,"VAPOR DIFFUSION, HANGING DROP",298,8.5,"0.1M tris, 22% PEG 1550, 0.02M magnesium chloride. After crystal formation TCEP added to 20mM., pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",1.94,36.64
3CD1,"VAPOR DIFFUSION, HANGING DROP",298,8,"0.1M tris, 24% PEG 1550, 0.04M sodium acetate, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",1.95,36.97
3CD9,"VAPOR DIFFUSION, HANGING DROP",298,8,"0.1M tris, 24% PEG 1550, 0.04M sodium acetate.  TCEP added to 20mM after crystal formation., pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",1.97,37.68
4L12,"VAPOR DIFFUSION, HANGING DROP",298,7,"51 mM HEPES, pH 7.0, 1 mM beta-mercaptoethanol, 50 mM sodium acetate, 17% PEG4000, 2 mM gadolinium chloride, VAPOR DIFFUSION, HANGING DROP, temperature 298K",3.05,59.64
4L1I,"VAPOR DIFFUSION, HANGING DROP",298,7,"0.9 mM protein, 53 mM HEPES, pH 7.0, 1 mM beta-mercaptoethanol, 50 mM sodium acetate, 16% PEG3350, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.13,42.37
6DEJ,"VAPOR DIFFUSION, SITTING DROP",298,,"12 mg/ml protein
0.2 M ammonium sulfate
0.1 M bis-tris pH 6.5
25 w/v polyethylene glycol 3350",2.2,44.14
6QUH,"VAPOR DIFFUSION, SITTING DROP",293,,"0.1M Sosium Acetate pH 5.4, 30%MPD, 0.1M Cacl2",2.57,52.17
3GEX,"VAPOR DIFFUSION, HANGING DROP",293,8.5,"30% PEG 4000, 0.1M Tris-HCl pH 8.5, 0.2M Lithium sulfate, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.08,40.99
3I19,"VAPOR DIFFUSION, HANGING DROP",293,8.5,"30% PEG 4000, 0.1M Tris-HCl pH 8.5, 0.2M Li2SO4, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.11,41.74
4KW4,hanging drop,294,8.2,"50 mM HEPES pH 8.2, 50 mM MgCl2, 22% PEG4000, hanging drop, temperature 294K",2.78,55.77
5YR3,"VAPOR DIFFUSION, SITTING DROP",289.15,5,"15% PEG 3350, 0.1M malic acid, pH 5.0",2.31,46.77
1EMA,,,8.2,"22-26% PEG 4000, 50 MM HEPES PH 8.0-8.4, 50 MM MGCL2, 10 MM 2-MERCAPTOETHANOL, 5-7 MG PROTEIN, pH 8.2",2.1,40.5
2GX0,"VAPOR DIFFUSION, HANGING DROP",295,8.5,"PEG 4000, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 295K",2.11,41.81
2OTB,"VAPOR DIFFUSION, HANGING DROP",295,4.8,"31% PEG 3400, 0.2 M Lithium Sulfate, 0.1 M Sodium Acetate, 2.9 mM 1-s-nonyl-beta-D-thioglucoside, pH 4.8, VAPOR DIFFUSION, HANGING DROP, temperature 295K",2.12,41.88
2OTE,"VAPOR DIFFUSION, HANGING DROP",295,4.8,"31% PEG 3400, 0.2 M Lithium Sulfate, 0.1 M Sodium Acetate, 2.9 mM 1-s-Nonyl-beta-D-thioglucoside, pH 4.8, VAPOR DIFFUSION, HANGING DROP, temperature 295K",2.13,42.16
2P4M,"VAPOR DIFFUSION, HANGING DROP",293,10.7,"PEG 3350, Potassium Iodide, Tris Buffer, pH 10.7, VAPOR DIFFUSION, HANGING DROP, temperature 293K",3.34,63.19
2ZO6,"VAPOR DIFFUSION, SITTING DROP",295,8,"20% PEG 3350, 0.2M LICL, 20MM TRIS/HCL, pH 8.00, VAPOR DIFFUSION, SITTING DROP, temperature 295K",1.81,32.06
2ZO7,"VAPOR DIFFUSION, SITTING DROP",291,7.5,"35-40% PEG 8000, 0.2M (NH4)2SO4, 0.1M SODIUM CACODYLATE, pH 7.50, VAPOR DIFFUSION, SITTING DROP, temperature 291K",2.23,44.81
